category_ja,category_parent_ja,origin_ja,taxon_group_ja,family_ja,scientific_name,vernacular_name_ja,ias_law_status_ja,establishment_stage_ja,selection_reason_ja,problem_area_ja,kingdom_sheet_ja,note_ja,source_id,source_ref
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Herpestes javanicus,ジャワマングース,特定外来,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=26
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,両生類,,Eleutherodactylus coqui,コキーコヤスガエル,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=27
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,両生類,,Eleutherodactylus johnstonei,ジョンストンコヤスガエル,,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=28
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,両生類,,Eleutherodactylus planirostris,オンシツガエル,未判定,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=29
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,両生類,,Osteopilus septentrionalis,キューバズツキガエル（キューバアマガエル）,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=30
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Ameiurus nebulosus,ブラウンブルヘッド,未判定,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=31
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Pylodictis olivaris,フラットヘッドキャットフィッシュ,未判定,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=32
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Morone americana,ホワイトパーチ,,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=33
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Gymnocephalus cernuus,ラッフ,未判定,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=34
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Neogobius melanostomus,ラウンドゴビー,,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=35
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,昆虫類,,Propomacrus spp.,ヒメテナガコガネ属,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=36
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,昆虫類,,Solenopsis invicta,ヒアリ（アカヒアリ）,特定外来,未定着,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=37
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,昆虫類,,Wasmannia auropunctata,コカミアリ,特定外来,未定着,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=38
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,昆虫類,,Apis mellifera scutellata,アフリカミツバチとアフリカ化ミツバチ,*,未定着,Ⅲ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=39
