source_id,source_ref,data_year,watershed_id,water_system_code_old,water_system_name_ja_estimated,landuse_code_raw,landuse_name_ja,n_cells,area_km2
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0001,83030,多摩川,0500,森林,2,0.020962
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0001,83030,多摩川,0700,建物用地,902,9.453681
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0001,83030,多摩川,0901,道路,84,0.880421
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0001,83030,多摩川,0902,鉄道,32,0.335394
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0001,83030,多摩川,1000,その他の用地,200,2.096146
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0001,83030,多摩川,1100,河川地及び湖沼,387,4.055989
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0001,83030,多摩川,1500,海水域,56,0.587003
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0002,83030,多摩川,0100,田,1,0.010473
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0002,83030,多摩川,0200,その他の農用地,21,0.219939
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0002,83030,多摩川,0500,森林,117,1.225353
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0002,83030,多摩川,0600,荒地,2,0.020946
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0002,83030,多摩川,0700,建物用地,1865,19.535953
