taxon_id,scientific_name,vernacular_name_ja,source_id,query_name,query_variant,taxon_key,accepted_scientific_name,kingdom,phylum,class,order,family,genus,rank,matchType,confidence,status,note
lycopodium complanatum l.,Lycopodium complanatum L.,アスヒカズラ,kanagawa_redlist,Lycopodium complanatum L.,verbatim,9822879,Lycopodium complanatum L.,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum,SPECIES,EXACT,100,SYNONYM,
ulota perbreviseta dixon & sakurai,Ulota perbreviseta Dixon & Sakurai,イブキキンモウゴケ,kanagawa_redlist,Ulota perbreviseta Dixon & Sakurai,verbatim,2671917,Ulota perbreviseta Dixon & Sakurai,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Ulota,SPECIES,EXACT,100,ACCEPTED,
chara globularis thuill. var. hakonensis kasaki,Chara globularis Thuill. var. hakonensis Kasaki,ハコネシャジクモ,kanagawa_redlist,Chara globularis Thuill. var. hakonensis Kasaki,verbatim,5270780,Chara globularis Thuill.,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,SPECIES,HIGHERRANK,99,ACCEPTED,
lyophyllum shimeji (kawam.) hongo,Lyophyllum shimeji (Kawam.) Hongo,ホンシメジ,kanagawa_redlist,Lyophyllum shimeji (Kawam.) Hongo,verbatim,2530742,Lyophyllum shimeji (Kawam.) Hongo,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,SPECIES,EXACT,100,ACCEPTED,
"ephemerella ishiwatai gose, 1985","Ephemerella ishiwatai Gose, 1985",イシワタマダラカゲロウ,kanagawa_redlist,"Ephemerella ishiwatai Gose, 1985",verbatim,,,,,,,,,,NONE,100,,
herpestes javanicus,Herpestes javanicus,ジャワマングース,moe_ias_list,Herpestes javanicus,verbatim,2434271,"Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)",Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,SPECIES,EXACT,99,ACCEPTED,
eleutherodactylus coqui,Eleutherodactylus coqui,コキーコヤスガエル,moe_ias_list,Eleutherodactylus coqui,verbatim,2424091,"Eleutherodactylus coqui Thomas, 1966",Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,SPECIES,EXACT,99,ACCEPTED,
ameiurus nebulosus,Ameiurus nebulosus,ブラウンブルヘッド,moe_ias_list,Ameiurus nebulosus,verbatim,2340989,"Ameiurus nebulosus (Lesueur, 1819)",Animalia,Chordata,,Siluriformes,Ictaluridae,Ameiurus,SPECIES,EXACT,99,ACCEPTED,
propomacrus spp.,Propomacrus spp.,ヒメテナガコガネ属,moe_ias_list,Propomacrus spp.,verbatim,1072117,"Propomacrus Newman, 1836",Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Propomacrus,GENUS,HIGHERRANK,94,ACCEPTED,
atrax spp.,Atrax spp.,アトラクス属,moe_ias_list,Atrax spp.,verbatim,2145054,"Atrax O.P.-Cambridge, 1877",Animalia,Arthropoda,Arachnida,Araneae,Atracidae,Atrax,GENUS,HIGHERRANK,94,ACCEPTED,
