facility_id,utility_id,name,type,lat,lon,note_ja,source_doc_id
FAC_YOK_AWAGO,UTL_YOKOHAMA,鮑子取水ぜき,intake,,,道志川系統の取水地点。青山沈でん池を経て自然流下で川井浄水場へ（DOC_YOK_SUISHITSU_R8 p3）,DOC_YOK_SUISHITSU_R8
FAC_YOK_NUMOTO,UTL_YOKOHAMA,沼本取水口（横浜市 相模湖系統）,intake,,,相模湖の水を下流の沼本取水口で取水し津久井分水池・下九沢分水池・相模原沈でん池を経て自然流下で西谷浄水場へ（DOC_YOK_SUISHITSU_R8 p3）,DOC_YOK_SUISHITSU_R8
FAC_YOK_SAMUKAWA,UTL_YOKOHAMA,寒川取水ぜき（横浜市 馬入川系統）,intake,,,津久井湖の水とその下流で馬入川に流入する中小河川の水を寒川取水ぜきで取水しポンプ圧送で小雀浄水場へ（DOC_YOK_SUISHITSU_R8 p3）,DOC_YOK_SUISHITSU_R8
FAC_YOK_KAWAI,UTL_YOKOHAMA,川井浄水場,purification,,,横浜市旭区上川井町2555。処理能力 172800 m3/日。原水は表流水（道志川）,DOC_YOK_SUISHITSU_R8
FAC_YOK_NISHIYA,UTL_YOKOHAMA,西谷浄水場,purification,,,横浜市保土ケ谷区川島町522。処理能力 356000 m3/日。原水はダム放流水（相模湖）,DOC_YOK_SUISHITSU_R8
FAC_YOK_KOSUZUME,UTL_YOKOHAMA,小雀浄水場,purification,,,横浜市戸塚区小雀町2470。処理能力 820000 m3/日。原水は表流水（相模川）。同じ敷地に企業団分（計画1日最大給水量 301600 m3/日・寒川取水堰から小雀ポンプ場経由）があるが原水は同じ相模川なのでブレンド比率は変わらない,DOC_YOK_SUISHITSU_R8
FAC_KGD_IIZUMI,UTL_KIGYODAN,飯泉取水堰,intake,,,酒匂川の河口から約2.3kmに設置。1日最大 1422300 m3 を取水（DOC_KGD_GAIYOU_R8 p40・p49）,DOC_KGD_GAIYOU_R8
FAC_KGD_SAGAMIOZEKI,UTL_KIGYODAN,相模大堰,intake,,,相模川の河口から12.0kmに設置。1日最大 621000 m3（相模川水系建設事業〈第1期〉）を取水。社家ポンプ場から綾瀬浄水場系へ日量500000 m3・伊勢原浄水場系へ日量405000 m3を導水できる（DOC_KGD_GAIYOU_R8 p42・p49・p50）,DOC_KGD_GAIYOU_R8
FAC_KGD_NUMOTO,UTL_KIGYODAN,沼本取水口（企業団分）,intake,,,相模川水系。142000 m3/日を淵野辺接合井へ（DOC_KGD_GAIYOU_R8 p49 給水系統図）,DOC_KGD_GAIYOU_R8
FAC_KGD_SAMUKAWA,UTL_KIGYODAN,寒川取水堰（企業団分）,intake,,,相模川水系。寒川浄水場と小雀浄水場（企業団分）へ（DOC_KGD_GAIYOU_R8 p50 給水系統図）,DOC_KGD_GAIYOU_R8
