edge_id,from_id,to_id,share,basis,valid_from,valid_to,source_doc_id,note_ja
E_DOSHI_AWAGO,SRC_DOSHI,FAC_YOK_AWAGO,1.0,measured,2026-04-01,,DOC_YOK_SUISHITSU_R8,道志川系統。鮑子取水ぜきで取水するのは道志川のみ
E_SAGAMI_YOKNUMOTO,SRC_SAGAMI,FAC_YOK_NUMOTO,1.0,measured,2026-04-01,,DOC_YOK_SUISHITSU_R8,相模湖系統。相模湖（相模川）の水を沼本取水口で取水
E_SAGAMI_YOKSAMUKAWA,SRC_SAGAMI,FAC_YOK_SAMUKAWA,1.0,measured,2026-04-01,,DOC_YOK_SUISHITSU_R8,馬入川系統。馬入川は相模川の下流部
E_SAKAWA_IIZUMI,SRC_SAKAWA,FAC_KGD_IIZUMI,1.0,measured,2026-04-01,,DOC_KGD_GAIYOU_R8,飯泉取水堰で取水するのは酒匂川のみ
E_SAGAMI_OZEKI,SRC_SAGAMI,FAC_KGD_SAGAMIOZEKI,1.0,measured,2026-04-01,,DOC_KGD_GAIYOU_R8,相模大堰で取水するのは相模川のみ
E_SAGAMI_KGDNUMOTO,SRC_SAGAMI,FAC_KGD_NUMOTO,1.0,measured,2026-04-01,,DOC_KGD_GAIYOU_R8,給水系統図に「沼本取水口（相模川水系）」と明記
E_SAGAMI_KGDSAMUKAWA,SRC_SAGAMI,FAC_KGD_SAMUKAWA,1.0,measured,2026-04-01,,DOC_KGD_GAIYOU_R8,相模川水系の系統図に置かれている
E_AWAGO_KAWAI,FAC_YOK_AWAGO,FAC_YOK_KAWAI,1.0,measured,2026-04-01,,DOC_YOK_SUISHITSU_R8,浄水施設概要の「取水地点」が鮑子取水ぜきのみ
E_YOKNUMOTO_NISHIYA,FAC_YOK_NUMOTO,FAC_YOK_NISHIYA,1.0,measured,2026-04-01,,DOC_YOK_SUISHITSU_R8,浄水施設概要の「取水地点」が沼本取水口のみ
E_YOKSAMUKAWA_KOSUZUME,FAC_YOK_SAMUKAWA,FAC_YOK_KOSUZUME,1.0,measured,2026-04-01,,DOC_YOK_SUISHITSU_R8,浄水施設概要の「取水地点」が寒川取水ぜきのみ。企業団分も寒川取水堰（相模川）なので原水は同じ
E_OZEKI_AYASE,FAC_KGD_SAGAMIOZEKI,FAC_KGD_AYASE,1.0,measured,2026-04-01,,DOC_KGD_GAIYOU_R8,相模川水系の給水系統図で綾瀬浄水場の上流は相模大堰のみ
E_KGDSAMUKAWA_SAMUKAWAJP,FAC_KGD_SAMUKAWA,FAC_KGD_SAMUKAWA_JP,1.0,measured,2026-04-01,,DOC_KGD_GAIYOU_R8,相模川水系の給水系統図で寒川浄水場の上流は寒川取水堰のみ
E_IIZUMI_TRUNK,FAC_KGD_IIZUMI,FAC_KGD_SAKAWA_TRUNK,0.696,nominal,2026-04-01,,DOC_KGD_GAIYOU_R8,取水能力比 1422300/(1422300+621000)。実際の混合比は公表資料に無い。概算
