doc_id,title,publisher,url,published_at,retrieved_at,local_path,sha256,license_ja
DOC_YOK_SUISHITSU_R8,横浜市水道局 令和8年度水質検査計画,横浜市水道局,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/suido-gesui/suido/suishitsu/suidosui/suishitsu-keikaku.files/R8suishitsu-keikaku.pdf,2026-03-23,2026-09-05,data/raw/water/yokohama/yokohama_R8_suishitsu_keikaku.pdf,0aaa79a4868ad189b18c10f606f0a0651035ba5b7b59bd23a0d999cb49d0e776,横浜市サイトの利用について（出典明示で利用可）https://www.city.yokohama.lg.jp/site/copyright.html
DOC_KGD_GAIYOU_R8,神奈川県内広域水道企業団 事業の概要 令和8年度,神奈川県内広域水道企業団,https://www.kwsa.or.jp/aboutus/files/r8jigyounogaiyou.pdf,2026-04-01,2026-09-05,data/raw/water/kigyodan/kigyodan_r8_jigyounogaiyou.pdf,d27d7d73240c8ee228b95966bdc7fd09c2bc8a1bb2e74cd638539468f5a0ecbb,神奈川県内広域水道企業団サイトの利用について（出典明示で利用可・要確認）https://www.kwsa.or.jp/
DOC_YOK_KAWAI_GAIYOU,横浜市水道局 川井浄水場 施設概要（ウェブページ）,横浜市水道局,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/suido-gesui/suido/suishitsu/josuijo/kawai/gaiyou.html,,2026-09-05,data/raw/water/yokohama/kawai_gaiyou.html,09059cf425d3c671d0bae7161453dc7fdfadf52683ecf789879b8824d10f2e88,横浜市サイトの利用について（出典明示で利用可）https://www.city.yokohama.lg.jp/site/copyright.html
DOC_YOK_NISHIYA_GAIYOU,横浜市水道局 西谷浄水場 施設概要（ウェブページ）,横浜市水道局,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/suido-gesui/suido/suishitsu/josuijo/nishiya/gaiyou.html,,2026-09-05,data/raw/water/yokohama/nishiya_gaiyou.html,f794aba23186728060f66f163056397b282298296df5924c910d97681de46fc5,横浜市サイトの利用について（出典明示で利用可）https://www.city.yokohama.lg.jp/site/copyright.html
DOC_YOK_KOSUZUME_GAIYOU,横浜市水道局 小雀浄水場 施設概要（ウェブページ）,横浜市水道局,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/suido-gesui/suido/suishitsu/josuijo/kosuzume/gaiyou.html,,2026-09-05,data/raw/water/yokohama/kosuzume_gaiyou.html,1bca2d518d31b5d3e869e7316a4dec60f9a49cff74dd274244cb336b3c5db840,横浜市サイトの利用について（出典明示で利用可）https://www.city.yokohama.lg.jp/site/copyright.html
DOC_KEN_WEP_R8,神奈川県営水道 令和8年度水質検査計画,神奈川県企業局 水道部浄水課,https://www.pref.kanagawa.jp/documents/47452/keikakur8.pdf,2026-03-25,2026-09-05,data/raw/water/kenei/kenei_r8_suishitsu_keikaku.pdf,addc8ad94fcd9c9110c5a12643397ba80dd419663e6e721bc9691a8f0d319d09,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_KEN_KYUSUIKUIKI,神奈川県企業局 県営水道の給水区域（ウェブページ）,神奈川県企業局 水道部経営課,https://www.pref.kanagawa.jp/docs/r4a/keneisuidousyoukai/kyusuikuiki.html,2026-06-16,2026-09-05,data/raw/water/kenei/kyusuikuiki.html,bc2819c32b1bff121370e701d9cfb2bebe6fabaac135ae187b1a99f7f8a0b8c6,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_KEN_KUIKI_SAGAMIHARA,神奈川県企業局 水道営業所管轄区域（相模原市）（ウェブページ）,神奈川県企業局 水道部経営課,https://www.pref.kanagawa.jp/docs/r4a/keneisuidousyoukai/sagamiharakuiki.html,,2026-09-05,data/raw/water/kenei/kuiki_sagamihara.html,f42d6589410bbce953819425611b3260b9a2b7c17d8ceb7a2d1e523b8bc98449,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_KEN_KUIKI_ODAWARA,神奈川県企業局 小田原市の給水区域（ウェブページ）,神奈川県企業局 水道部経営課,https://www.pref.kanagawa.jp/docs/r4a/keneisuidousyoukai/odawarakuiki.html,,2026-09-05,data/raw/water/kenei/kuiki_odawara.html,402d19d479a38f134c01f2fb846c2dbca6b50f4886a7c5488ef69febbd2b7965,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_KEN_KUIKI_HAYAMA,神奈川県企業局 葉山町の給水区域（ウェブページ）,神奈川県企業局 水道部経営課,https://www.pref.kanagawa.jp/docs/r4a/keneisuidousyoukai/hayamakuiki.html,,2026-09-05,data/raw/water/kenei/kuiki_hayama.html,c9358819ed621bb32952a87d3ceb91f8b265896504e95c6c8299c72bf380587f,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
