utility_id,name,kind,note_ja
UTL_YOKOHAMA,横浜市水道局,retail,給水人口 3769110 人・一日平均給水量 1103188 m3（令和6年度。DOC_YOK_SUISHITSU_R8 p7）
UTL_KIGYODAN,神奈川県内広域水道企業団,bulk,神奈川県・横浜市・川崎市・横須賀市に水道用水を供給する一部事務組合（DOC_KGD_GAIYOU_R8）
UTL_KENEI,神奈川県企業局 県営水道,retail,給水人口 2847880 人・一日最大送水量 960699 m3（令和6年度。DOC_KEN_WEP_R8 p2）。12市6町に給水し県人口の約31%（DOC_KEN_KYUSUIKUIKI）。旧称は神奈川県企業庁だが公表資料の現在の名義は企業局
UTL_KAWASAKI,川崎市上下水道局,retail,給水人口 1553892 人・一日平均配水量 493732 m3/日（令和6年度末。DOC_KWS_SUISHITSU_R8 p4）。給水能力 758200 m3/日の内訳は相模川水系（長沢浄水場）252600 m3/日＝33.3% と企業団受水 505600 m3/日＝66.7%（DOC_KWS_SHISETSU）
UTL_YOKOSUKA,横須賀市上下水道局,retail,給水人口 367689 人（給水区域内・令和6年度末）・一日平均給水量 154514 m3/日（DOC_YKS_TOUKEI_R6 p25）。給水面積 101.03 km2 は行政面積 100.80 km2 を上回り市内全域＋三浦市への分水を含む（同 p1・p33 注）。1日配水能力 350300 m3 は5つの水源系統の供給可能水量の合計（DOC_YKS_KEITO）
UTL_ODAWARA,小田原市上下水道局,retail,給水人口 170935 人・一日平均配水量 59378 m3/日（令和6年度末。DOC_ODW_WEP_R8 p1 表1）。給水区域は「小田原市内（神奈川県営水道給水区域を除く）」（同 p1）。自己水源は酒匂川表流水（高田浄水場）と深井戸 6・湧水 2（同 p2 表2.1）で、他事業体からの浄水受水は無い（DOC_KAN_SUIDOU_R5 p23・p26 の浄水受水欄が空欄）
UTL_MINAMIASHIGARA,南足柄市上下水道課,retail,給水人口 38603 人・一日平均給水量 12657 m3/日・普及率 98.9%（令和6年度。DOC_MAS_WEP_R8 p2 表2-1）。給水区域は「南足柄市内全域」（同）。水源は 15 箇所すべて自己水源で、うち稼働中は 13 箇所（表流水 1・湧水 4〈1 休止〉・地下水 10〈1 将来使用予定〉。同 p7）。他事業体からの受水は無い（DOC_KAN_SUIDOU_R5 p23・p26 の浄水受水欄が空欄）
UTL_MIURA,三浦市上下水道部,retail,給水人口 39138 人・一日平均配水量 15279 m3/日（令和6年度末。DOC_MIU_WEP_R8 p2）。**自己水源はゼロで全量が横須賀市からの浄水受水**。「三浦市の水道水は、平成 24 年度から市内水源（深井戸水）全ての取水を休止し、全量を市外水源（浄水受水）としています」（同 p3）
UTL_NAKAI,中井町上下水道課,retail,給水人口 8978 人・一日平均配水量 5077 m3/日（令和6年度末。DOC_NKI_WEP_R8 p2 表1）。給水区域は「中井町内及び平塚市土屋字遠藤原地区」（同）。水源は 6 か所すべて地下水（深井戸・浅井戸）で表流水・湧水・受水は無い（同 p3 表2・DOC_KAN_SUIDOU_R5 p23・p26）
UTL_KAISEI,開成町都市整備課,retail,給水人口 18576 人・普及率 99.9%（令和8年2月末。DOC_KAI_WEP_R8）。給水区域は「開成町地内及び必要と認めた隣接地域」（同）。水源は 6 本の深井戸のみで、経営戦略の水源チェック欄も「□表流水、□ダム、□伏流水、☑地下水、□受水」（DOC_KAI_KEIEI p1）
UTL_OI,大井町生活環境課,retail,計画給水人口 18200 人・計画一日最大給水量 14600 m3/日、給水区域は町内全域（DOC_OI_KEIEI p1・p3 表1-1）。水源は 7 本の深井戸のみ（同 p4）。受水は無い（DOC_KAN_SUIDOU_R5 p23・p26）
UTL_MATSUDA,松田町環境上下水道課,retail,上水道事業（給水人口 8692 人）と寄簡易水道事業（給水人口 1365 人）の 2 事業（DOC_MTD_IMA p1）。「松田町に給水を行っている町営の水道事業として、南部に給水する松田町上水道事業と、寄地区に給水する寄簡易水道事業があります。また、湯の沢地区については秦野市から給水を受けています」（DOC_MTD_VISION p10）
UTL_HADANO,秦野市上下水道局,retail,給水人口 160231 人（松田町分を含む）・一日平均給水量 52470 m3/日・普及率 99.91%（令和6年度。DOC_HAD_WEP_R8 p2）。給水区域は「秦野市の区域及び松田町の一部の区域」（同）。「秦野市内全域に自己水源が 45 か所、浄水受水施設が 1 か所あります。水源の内訳としては、表流水 1 か所、伏流水 1 か所、深井戸 33 か所、浅井戸 7 か所、湧水 3 か所、浄水受水 1 か所になっています」（同 p2）
UTL_ZAMA,座間市上下水道局,retail,給水人口 131268 人・普及率 99.97%・年間配水量 12931558 m3（令和7年3月31日現在。DOC_ZAM_WEP_R8 p2 表1）。給水区域は「本市区域内(在日米軍用地を除く。)」（同）。「座間の水道は、地下水を主な水源としており、市内の水源数は浅井戸3箇所、深井戸5箇所の合計8箇所です。また、神奈川県企業庁からの県水（以下、県水と称す。）を受水しております」（同 p2）
UTL_YAMAKITA,山北町上下水道課,retail,"上水道（給水人口 7762 人）と簡易水道 7 事業（同 1255 人）・小規模水道 1（DOC_YMK_WEP_R8 p3、DOC_KAN_SUIDOU_R5 p50）。「計画１日の最大給水量は上水道８,３００㎥、簡易水道１,１９８㎥、小規模水道１８㎥です」（DOC_YMK_WEP_R8 p3）。本プロジェクトで割り付けたのは上水道だけ"
