source_id,name,type,river_system,parent_id,river_name_ja,lat,lon,note_ja,source_doc_id
SRC_SAGAMI,相模川,river,相模川水系,,相模川,,,下流部は馬入川と呼ばれる。横浜市の「馬入川系統」はこの相模川下流を寒川取水ぜきで取水したもの（DOC_YOK_SUISHITSU_R8 p3）,DOC_YOK_SUISHITSU_R8
SRC_DOSHI,道志川,river,相模川水系,SRC_SAGAMI,道志川,,,「相模川の上流にある道志川の河川水を水源としています」（DOC_YOK_SUISHITSU_R8 p3）。相模川の支流だが横浜市の独自水源で系統が完全に分かれるため別の水源として扱う,DOC_YOK_SUISHITSU_R8
SRC_SAKAWA,酒匂川,river,酒匂川水系,,酒匂川,,,飯泉取水堰で企業団が取水（DOC_KGD_GAIYOU_R8 p40）,DOC_KGD_GAIYOU_R8
SRC_SAGAMIKO,相模湖（相模ダム）,dam,相模川水系,SRC_SAGAMI,,,,西谷浄水場の原水。ドリルダウン表示（Phase 4）用で flow_edge では使っていない,DOC_YOK_SUISHITSU_R8
SRC_TSUKUI,津久井湖（城山ダム）,dam,相模川水系,SRC_SAGAMI,,,,同上。馬入川系統の上流にある,DOC_YOK_SUISHITSU_R8
SRC_MIYAGASE,宮ヶ瀬湖（宮ヶ瀬ダム）,dam,相模川水系,SRC_SAGAMI,,,,同上。中津川にあり相模川に合流する。集水面積 213.9 km2（うち導水流域 112.5 km2）,DOC_KGD_GAIYOU_R8
SRC_TANZAWAKO,丹沢湖（三保ダム）,dam,酒匂川水系,SRC_SAKAWA,,,,同上。集水面積 158.5 km2,DOC_KGD_GAIYOU_R8
SRC_TOCHIYAGAWA,栃谷川,river,,,栃谷川,,,落合浄水場の原水。「栃谷川より取水」（DOC_KEN_WEP_R8 p3）。水系名は資料に記載が無いので空にしてある,DOC_KEN_WEP_R8
SRC_SANOGAWA,佐野川,river,,,佐野川,,,鎌沢浄水場の原水。「佐野川より取水」（DOC_KEN_WEP_R8 p3）。水系名は資料に記載が無いので空にしてある,DOC_KEN_WEP_R8
SRC_SAWAIGAWA,沢井川,river,,,沢井川,,,和田浄水場の原水。「沢井川より取水」（DOC_KEN_WEP_R8 p3）。水系名は資料に記載が無いので空にしてある,DOC_KEN_WEP_R8
SRC_OYAMAGAWA,大山川,river,,,大山川,,,大山浄水場の原水。「大山川より取水」（DOC_KEN_WEP_R8 p3）。水系名は資料に記載が無いので空にしてある,DOC_KEN_WEP_R8
SRC_HAYATOGAWA,早戸川,river,,,早戸川,,,鳥屋浄水場の原水。「早戸川の伏流水を取水」（DOC_KEN_WEP_R8 p3）。水系名は資料に記載が無いので空にしてある,DOC_KEN_WEP_R8
