assignment_id,key_code,facility_id,share,confidence,valid_from,valid_to,source_doc_id,note_ja
TRACE_YOK:141010010,141010010,FAC_YOK_NISHIYA,1.0,medium,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。相模川系統（西谷浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 98%（判定に使った画素 19313）。位置合わせ IoU 0.863（4パラメータ）
TRACE_YOK:14101003001,14101003001,FAC_YOK_NISHIYA,1.0,low,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。相模川系統（西谷浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 64%（判定に使った画素 3941）。位置合わせ IoU 0.863（4パラメータ）
TRACE_YOK:14101003002,14101003002,FAC_YOK_NISHIYA,1.0,medium,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。相模川系統（西谷浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 100%（判定に使った画素 2836）。位置合わせ IoU 0.863（4パラメータ）
TRACE_YOK:14101003003,14101003003,FAC_YOK_NISHIYA,1.0,low,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。相模川系統（西谷浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 74%（判定に使った画素 1380）。位置合わせ IoU 0.863（4パラメータ）
TRACE_YOK:14101003004,14101003004,FAC_YOK_NISHIYA,1.0,low,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。相模川系統（西谷浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 95%（判定に使った画素 394）。位置合わせ IoU 0.863（4パラメータ）
TRACE_YOK:14101003005,14101003005,FAC_YOK_NISHIYA,1.0,medium,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。相模川系統（西谷浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 98%（判定に使った画素 991）。位置合わせ IoU 0.863（4パラメータ）
TRACE_YOK:14101008001,14101008001,FAC_KGD_NISHINAGASAWA,1.0,medium,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。企業団酒匂川系統（西長沢・相模原浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 100%（判定に使った画素 1836）。位置合わせ IoU 0.863（4パラメータ）。図では西長沢浄水場系と相模原浄水場系が同じ色で区別できないため供給水量の大きい西長沢に寄せている（企業団の1日平均供給水量 R7年度 西長沢 467486 ㎥ / 相模原 248448 ㎥）
TRACE_YOK:14101008002,14101008002,FAC_KGD_NISHINAGASAWA,1.0,medium,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。企業団酒匂川系統（西長沢・相模原浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 100%（判定に使った画素 1367）。位置合わせ IoU 0.863（4パラメータ）。図では西長沢浄水場系と相模原浄水場系が同じ色で区別できないため供給水量の大きい西長沢に寄せている（企業団の1日平均供給水量 R7年度 西長沢 467486 ㎥ / 相模原 248448 ㎥）
TRACE_YOK:14101008003,14101008003,FAC_KGD_NISHINAGASAWA,1.0,medium,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。企業団酒匂川系統（西長沢・相模原浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 100%（判定に使った画素 2177）。位置合わせ IoU 0.863（4パラメータ）。図では西長沢浄水場系と相模原浄水場系が同じ色で区別できないため供給水量の大きい西長沢に寄せている（企業団の1日平均供給水量 R7年度 西長沢 467486 ㎥ / 相模原 248448 ㎥）
TRACE_YOK:14101008004,14101008004,FAC_KGD_NISHINAGASAWA,1.0,medium,2026-04-01,,DOC_YOK_SUISHITSU_R8,令和8年度水質検査計画 p11「各水源の主な給水区域」図からのラスタ読み取り。企業団酒匂川系統（西長沢・相模原浄水場系）。図は「主な給水区域」であり町丁目単位の断定ではない。純度 96%（判定に使った画素 1394）。位置合わせ IoU 0.863（4パラメータ）。図では西長沢浄水場系と相模原浄水場系が同じ色で区別できないため供給水量の大きい西長沢に寄せている（企業団の1日平均供給水量 R7年度 西長沢 467486 ㎥ / 相模原 248448 ㎥）
