分類,タイトル,概要,リンク,データ形式,提供元
県・生物多様性,神奈川県レッドデータブック2022 植物編,絶滅危惧種等を分類群別に解説する植物編報告書。種の写真・生育状況・保全ランクを掲載し学術・行政・保全活動で活用できる,https://www.pref.kanagawa.jp/docs/t4i/cnt/f12655/p1197000.html,"PDF,HTML",神奈川県環境農政局
県・生物多様性,神奈川県レッドリスト2020 植物編,維管束植物807種等の絶滅危惧カテゴリー一覧。PDF・CSV・Excel形式で提供され種リストのデータ分析にも利用可能,https://www.pref.kanagawa.jp/docs/t4i/cnt/f12655/p1196500.html,"PDF,CSV,Excel,HTML",神奈川県環境農政局
県・生物多様性,神奈川県レッドリスト2026 昆虫類・クモ類,2026年3月公表の最新版。県内で絶滅のおそれがある昆虫類・クモ類のカテゴリー判定結果をPDF・Excelで収録,https://www.pref.kanagawa.jp/docs/t4i/cnt/f12655/p1197500.html,"PDF,Excel,HTML",神奈川県環境農政局
県・生物多様性,希少種情報（レッドリスト・RDB総合ページ）,分類群・年版ごとのレッドリスト／レッドデータブックへの入口。改訂履歴とカテゴリー定義もまとまっている,https://www.pref.kanagawa.jp/docs/t4i/cnt/f12655/p1061385.html,"HTML,PDF",神奈川県環境農政局
県・生物多様性,神奈川県レッドデータ生物調査報告書2006,動物分野の最新版レッドデータ調査報告。分類群別の希少種選定経緯や調査手法を記録した学術報告書,https://nh.kanagawa-museum.jp/publications/other/reddata.html,"PDF,HTML",神奈川県立生命の星・地球博物館
県・生物多様性,かながわ生物多様性計画2024-2030,ネイチャーポジティブに向けた県の生物多様性保全戦略。現状・課題・エリア別施策・推進体制を記載した全体版と概要版PDF,https://www.pref.kanagawa.jp/docs/t4i/cnt/f12655/p1042709.html,"PDF,HTML",神奈川県環境農政局
県・生物多様性,かながわ生きもの調査,県民が「いきものログ」で里山の生きものと外来種を投稿する市民科学プロジェクト。年度別結果をPDFで公開,https://www.pref.kanagawa.jp/docs/t4i/cnt/f12655/p1195000.html,"PDF,API,HTML",神奈川県環境農政局
県・生物多様性,自然環境保全センター 業務報告・研究報告,センターの調査研究成果や年次業務報告をまとめた刊行物ページ。森林・野生生物分野の研究論文PDFを収録,https://www.agri-kanagawa.jp/info_hokoku.html,"PDF,HTML",神奈川県自然環境保全センター
県・生物多様性,自然環境保全センター データベース・図鑑,県内の動植物に関する図鑑・データベースを公開。野生生物の同定や生態情報の検索に利用できる,https://www.agri-kanagawa.jp/kenkyu_database.html,"HTML,データベース",神奈川県自然環境保全センター
県・生物多様性,神奈川県自然環境保全センター（公式）,丹沢山地の森林・シカ管理・水源涵養研究を行う県立研究機関。各種調査データと研究成果を継続公開している,https://www.agri-kanagawa.jp/,"HTML,PDF,データベース",神奈川県自然環境保全センター
県・生物多様性,生命の星・地球博物館 データベース一覧,収蔵資料・電子百科・魚類写真資料など分野別データベースの入口。標本画像や生態写真を検索できる,https://nh.kanagawa-museum.jp/db/,"データベース,画像,HTML",神奈川県立生命の星・地球博物館
県・生物多様性,神奈川県立博物館研究報告（自然科学）,1968年創刊の学術誌。県内生物相・地質の調査研究論文を第1号から最新号まで収録しJ-STAGEでも閲覧可能,https://nh.kanagawa-museum.jp/publications/bull/,"PDF,HTML",神奈川県立生命の星・地球博物館
県・生物多様性,生命の星・地球博物館 調査研究報告,館の学芸員による調査研究プロジェクトの成果報告。分類群別の分布調査や標本収集記録を掲載,https://nh.kanagawa-museum.jp/research/res-rep/,"PDF,HTML",神奈川県立生命の星・地球博物館
県・生物多様性,生命の星・地球博物館 年報第25号,館の年間活動・研究・収集事業の実績報告書。標本収蔵数や普及事業の実績データを掲載,https://nh.kanagawa-museum.jp/files/data/pdf/yearbook/YB25Full.pdf,PDF,神奈川県立生命の星・地球博物館
県・生物多様性,河川生物の絵解き検索,水生昆虫等の底生動物を検索表形式で同定できる資料。県民参加の河川水質モニター調査の支援用,https://www.pref.kanagawa.jp/docs/b4f/suigen/manual.html,PDF,神奈川県環境科学センター
県・生物多様性,第5次神奈川県ニホンジカ管理計画,丹沢山地のシカ生息数管理と生物多様性保全を目的とする令和5～8年度の第二種特定鳥獣管理計画本体,https://www.pref.kanagawa.jp/documents/40200/5shikakeikaku.pdf,PDF,神奈川県環境農政局
県・生物多様性,令和6年度ニホンジカ管理実績報告,捕獲頭数・生息密度・植生モニタリング結果等をまとめた年次実績報告書,https://www.pref.kanagawa.jp/documents/40200/shikajisseki_r6_2.pdf,PDF,神奈川県環境農政局
県・生物多様性,令和8年度ニホンジカ管理実施計画,当該年度の捕獲目標・実施区域・被害防除対策を定めた単年度実施計画,https://www.pref.kanagawa.jp/documents/40200/r8_shika_keikaku.pdf,PDF,神奈川県環境農政局
県・生物多様性,第二種特定鳥獣管理計画（ニホンジカ）,丹沢地域を含む県内シカ個体群の管理目標・捕獲計画を定めた公式計画書と関連文書の一覧,https://www.pref.kanagawa.jp/docs/t4i/cnt/f986/documents/shika.html,"HTML,PDF",神奈川県環境農政局
県・生物多様性,第二種特定鳥獣管理計画（イノシシ）,第2次イノシシ管理計画（令和5～8年度）や豚熱対応、指定管理鳥獣捕獲等事業計画をまとめたページ,https://www.pref.kanagawa.jp/docs/t4i/cnt/f986/documents/inosisi.html,"PDF,HTML",神奈川県環境農政局
県・生物多様性,第二種特定鳥獣管理計画（ニホンザル）,第5次ニホンザル管理計画（令和5～8年度）と年次実施計画・別冊をまとめたページ,https://www.pref.kanagawa.jp/docs/t4i/cnt/f986/documents/saru.html,"PDF,HTML",神奈川県環境農政局
県・生物多様性,ツキノワグマ情報（出没・目撃記録）,丹沢山地のツキノワグマの目撃情報を年度別に集計したデータと安全対策の案内,https://www.pref.kanagawa.jp/docs/t4i/cnt/f3813/index.html,"PDF,HTML",神奈川県環境農政局
県・生物多様性,第4次神奈川県アライグマ防除実施計画,外来生物法に基づく2024～2029年度の防除方針。地域別対策・捕獲手法・被害統計を記載した計画書本体,https://www.pref.kanagawa.jp/documents/15083/raccoon_bojo_plan_4.pdf,PDF,神奈川県環境農政局
県・生物多様性,アライグマの防除（概要）,生息状況・防除体制・目標を解説する外来種対策の総合案内ページ,https://www.pref.kanagawa.jp/docs/t4i/cnt/f986/raccoon/bojo_top.html,HTML,神奈川県環境農政局
県・生物多様性,神奈川の野生鳥獣と狩猟,鳥獣保護管理計画・狩猟制度・特定鳥獣捕獲情報への入口となる総合ポータルページ,https://www.pref.kanagawa.jp/docs/t4i/cnt/f986/index.html,HTML,神奈川県環境農政局
県・生物多様性,神奈川県自然環境保全地域の指定状況,"23市町70地域・計11,236.4haの指定区域一覧と植生特性をまとめたPDF資料（令和7年3月現在）",https://www.pref.kanagawa.jp/documents/11452/shizenkankyohozennchiiki2026.pdf,PDF,神奈川県環境農政局
県・生物多様性,かながわの公園緑地マップ（分割版）,県立公園・風致地区・近郊緑地保全区域・特別緑地保全地区の配置を示す県内4分割の参考地図PDF,https://www.pref.kanagawa.jp/docs/t4i/cnt/f10578/p464081.html,"PDF,画像,HTML",神奈川県環境農政局
県・生物多様性,県内の自然公園,富士箱根伊豆国立公園・丹沢大山国定公園等6公園の面積・区域概要を紹介する一覧ページ,https://www.pref.kanagawa.jp/docs/t4i/cnt/f5842/p16572.html,HTML,神奈川県環境農政局
県・生物多様性,かながわのみどりの保全,自然環境保全地域・特別緑地保全地区など県内緑地制度の総合案内ページ,https://www.pref.kanagawa.jp/docs/t4i/cnt/f10578/index.html,HTML,神奈川県環境農政局
県・生物多様性,生物多様性（県の総合ポータル）,レッドデータブック・生物多様性計画・生きもの調査等へのリンクを集約した県公式総合ページ,https://www.pref.kanagawa.jp/docs/t4i/cnt/f12655/,HTML,神奈川県環境農政局
丹沢・大山,丹沢大山自然環境情報ステーション e-Tanzawa,丹沢大山総合調査以降の植生・シカ・水源涵養等の長期モニタリングデータと報告書を集約する県公式サイト,https://www.pref.kanagawa.jp/docs/f4y/03shinrin/e-tanzawa/top.html,"HTML,PDF,データベース",神奈川県
丹沢・大山,丹沢資料室,1964・1997・2007年版の総合調査報告書、ニュースレター、鳥獣保護区位置図等の一次資料をPDFで公開する資料アーカイブ,https://www.pref.kanagawa.jp/docs/f4y/03shinrin/e-tanzawa/siryousitu.html,"HTML,PDF",神奈川県自然環境保全センター
丹沢・大山,丹沢大山総合調査の経緯・概要,2004〜2006年度実施の丹沢大山総合調査の目的・体制・成果を解説。学術報告書刊行に至る経緯と調査分野を紹介,https://www.pref.kanagawa.jp/docs/f4y/03shinrin/e-tanzawa/keii/sogochosa.html,HTML,神奈川県
丹沢・大山,丹沢大山自然環境総合調査（沿革）,1993〜97年の第1次総合調査を含む丹沢大山自然環境総合調査全体の沿革と各期の位置づけを整理したページ,https://www.pref.kanagawa.jp/docs/f4y/03shinrin/e-tanzawa/keii/kankyo_sogochosa.html,HTML,神奈川県
丹沢・大山,丹沢大山動植物目録（総合調査学術報告書）,2007年刊行の丹沢大山総合調査学術報告書に収録された動植物目録の書誌情報。所蔵館・目次確認に利用できる,https://iss.ndl.go.jp/books/R100000002-I000009096405-00,データベース,国立国会図書館
丹沢・大山,丹沢大山自然再生委員会（公式）,ブナ林再生・シカ管理・水源保全を担う協働組織。丹沢ジャーナルで調査・活動記録を継続発信している,https://www.tanzawasaisei.jp/,"HTML,PDF,画像",丹沢大山自然再生委員会
丹沢・大山,丹沢大山自然再生委員会 活動報告,年度別の現地活動・モニタリング・シンポジウム等の活動報告記事を掲載する一覧ページ,https://www.tanzawasaisei.jp/reports22.html,HTML,丹沢大山自然再生委員会
丹沢・大山,丹沢ジャーナル,自然再生委員会が発行する現地レポート記事。植生・シカ・登山道等の現況を写真付きで紹介する連載,https://tanzawasaisei.jp/journal/20.html,"HTML,画像",丹沢大山自然再生委員会
丹沢・大山,第3期丹沢大山自然再生計画 実施報告書,令和4年度までの第3期計画（H29〜R4）の総括実施報告書。ブナ林再生・シカ管理等の実績データを収録,https://www.pref.kanagawa.jp/documents/10955/3_saiseikeikaku_houkoku.pdf,PDF,神奈川県
丹沢・大山,第3期自然再生計画 令和4年度実施報告書,第3期自然再生計画の令和4年度単年度の事業進捗・モニタリング結果をまとめた報告書,https://www.pref.kanagawa.jp/documents/10955/3_saiseikeikaku_r4joukyou.pdf,PDF,神奈川県
丹沢・大山,丹沢大山自然再生ONLINE,第1〜3期の自然再生事業実施状況報告書、サントリー協働の森づくりレポート等をまとめた特設ページ,https://www.pref.kanagawa.jp/docs/f4y/03shinrin/e-tanzawa/online.html,"HTML,PDF",神奈川県
丹沢・大山,「丹沢再生」統合・順応・参加による自然環境管理,羽山伸一氏による丹沢再生の考え方を示した環境省検討会資料。順応的管理の設計思想を知るのに有用,https://www.env.go.jp/nature/koen_kento/061219_4-2.pdf,PDF,環境省
丹沢・大山,神奈川県のニホンジカ（概要）,丹沢地域のニホンジカ生息状況・個体数推定・保護管理の考え方を解説する基礎情報ページ,https://www.pref.kanagawa.jp/docs/f4y/03shinrin/sika/01_about.html,HTML,神奈川県
丹沢・大山,ニホンジカ管理捕獲,丹沢山地における個体群管理捕獲の方法・実施体制・関連計画を解説し実施状況ページへリンクする,https://www.pref.kanagawa.jp/docs/f4y/03shinrin/sika/02_kanrihokaku.html,HTML,神奈川県
丹沢・大山,令和4年度ニホンジカ管理事業 実績編,令和4年度の管理捕獲頭数・生息密度調査・植生モニタリング等の実績データを収録した年次報告書,https://www.pref.kanagawa.jp/documents/40200/r4_shika_jisseki.pdf,PDF,神奈川県
丹沢・大山,丹沢山地のシカ保護管理（ワイルドライフレンジャー事例）,自然環境保全センター研究員による丹沢のシカ保護管理と現場体制の事例報告,https://www.env.go.jp/nature/choju/effort/effort5/effort5-3c/sika_tokio/sika_5.pdf,PDF,環境省／神奈川県自然環境保全センター
丹沢・大山,ブナ衰退の現状（WEB版）,東丹沢を中心としたブナ林衰退の分布状況を空中写真判読・現地調査データと図表で示す特設サイト,https://www.agri-kanagawa.jp/WEB_buna/jittai_02rireki.html,"HTML,画像",神奈川県自然環境保全センター
丹沢・大山,ブナ衰退の原因,大気汚染・温暖化・シカ食害・ブナハバチ等、時代ごとの衰退要因を調査データに基づき解説,https://www.agri-kanagawa.jp/WEB_buna/genin_01osen.html,HTML,神奈川県自然環境保全センター
丹沢・大山,ブナ再生に向けた取組み,ブナ林再生のための植栽・保護柵設置・モニタリング等、再生事業の取組内容と調査結果を紹介,https://www.agri-kanagawa.jp/WEB_buna/saisei_01hozen.html,"HTML,画像",神奈川県自然環境保全センター
丹沢・大山,対照流域法による水源かん養機能調査,森林総研・東京大学・東京農工大学等と連携し丹沢山地で継続する森林水文の長期モニタリング調査地の紹介,https://www.agri-kanagawa.jp/web_taisho/link.html,"HTML,画像",神奈川県自然環境保全センター
丹沢・大山,自然環境保全センター 研究企画業務,丹沢大山自然再生計画の推進に関する研究・モニタリング事業の全体像を示すページ,https://www.agri-kanagawa.jp/kikaku_gyomu.html,HTML,神奈川県自然環境保全センター
丹沢・大山,堂平地区シカ食害地の降雨と土壌侵食量,シカによる林床植生衰退地における降雨係数・地表流出量と土壌侵食量の関係を定量分析した学術論文,https://www.jstage.jst.go.jp/article/jjfs/95/3/95_163/_article/-char/ja/,"HTML,PDF",日本森林学会誌
丹沢・大山,植生保護柵による希少植物保護（丹沢山地）,植生保護柵の設置によるシカ採食圧からの希少植物保護効果を検証した調査論文,https://www.jstage.jst.go.jp/article/hozen/10/1/10_KJ00003259254/_pdf/-char/ja,PDF,保全生態学研究
丹沢・大山,丹沢山地のシカの食性（長期採食圧下の事例）,長期的に強い採食圧を受けた丹沢の生息地におけるシカの食性変化を分析した研究論文,https://www.jstage.jst.go.jp/article/hozen/advpub/0/advpub_1903/_article/-char/ja/,"HTML,PDF",保全生態学研究
丹沢・大山,かながわ水源環境保全・再生 これまでの取組,水源かん養林整備や渓畔林整備等、水源環境保全税を活用した事業の全体像とモニタリング体制を解説,https://www.pref.kanagawa.jp/documents/40394/796793.pdf,PDF,水源環境保全・再生かながわ県民会議
丹沢・大山,かながわ水源環境保全・再生基本計画（案）,水源かん養林整備を含む水源環境保全・再生施策の将来展望と基本方向を示す計画資料,https://www.pref.kanagawa.jp/documents/132534/siryo3-2.pdf,PDF,神奈川県
丹沢・大山,水源環境保全・再生施策 最終評価報告書,2007年からの水源環境保全税事業の順応的管理に基づく森林・河川モニタリング結果を総括した令和6年報告書,https://www.pref.kanagawa.jp/documents/108565/document3-2.pdf,PDF,神奈川県
丹沢・大山,水源環境保全税事業（第4期R5年度実績）点検結果,県民会議による特別対策事業の年次点検結果報告書。進捗・モニタリング調査結果・評価意見を収録,https://www.pref.kanagawa.jp/docs/pb5/prs/r0875471.html,"HTML,PDF",神奈川県
丹沢・大山,水源環境保全・再生の取組（総合ページ）,水源環境保全税の仕組み、12の特別対策事業、県民会議の運営状況をまとめた入口ページ,https://www.pref.kanagawa.jp/docs/pb5/cnt/f7006/p1163321.html,"HTML,PDF",神奈川県
丹沢・大山,水源環境保全のPES事例（丹沢）,生態系サービスへの支払い制度としての神奈川県水源税・水源林整備の仕組みを紹介する事例集,https://www.biodic.go.jp/biodiversity/shiraberu/policy/pes/forest/forest03.html,HTML,環境省生物多様性センター
丹沢・大山,丹沢のビジターセンター（公式）,東丹沢・西丹沢・秦野・丹沢湖各ビジターセンターの拠点情報、登山道・自然情報を統合発信するポータル,https://www.kanagawa-park.or.jp/tanzawavc/,HTML,かながわ公園協会
丹沢・大山,丹沢の生き物リスト,丹沢大山自然環境総合調査（1997）に基づく哺乳類・鳥類・爬虫類・両生類・昆虫の確認種リストと写真,https://www.kanagawa-park.or.jp/tanzawavc/ikimono1.html,"HTML,画像",かながわ公園協会
丹沢・大山,秦野ビジターセンター公式ブログ,東丹沢・表丹沢エリアの開花状況・野鳥・登山道情報等を日々更新する現地観察記録アーカイブ,http://hadanovc.blogspot.com/,"HTML,画像",神奈川県立秦野ビジターセンター
丹沢・大山,丹沢湖ビジターセンター公式ブログ,西丹沢・玄倉川流域の花・野鳥・両生類等の観察記録を蓄積したブログ形式アーカイブ,http://tanzawakovc.blogspot.com/,"HTML,画像",神奈川県立丹沢湖ビジターセンター
丹沢・大山,丹沢情報発信基地ビジターセンター,県内丹沢地域4ビジターセンターの位置・役割・登山情報発信機能を解説する県公式ページ,https://www.pref.kanagawa.jp/docs/f4y/02yama/visitor.html,HTML,神奈川県
丹沢・大山,パークレンジャーの取組（登山道整備）,自然公園指導員による登山道パトロール・整備・利用者対応等の現地取組を写真付きで紹介,https://www.pref.kanagawa.jp/docs/f4y/02yama/kanagawaparkranger/tokubetukikaku/torikumi2.html,"HTML,画像",神奈川県
丹沢・大山,丹沢自然保護協会,1960年設立の県内最古参級の自然保護NPO。植樹・森の学校・自然観察会と丹沢の動植物写真記録を公開,https://www.tanzawa-shizenhogo-kyoukai.org/,"HTML,画像",丹沢自然保護協会
丹沢・大山,NPO法人 自然塾丹沢ドン会,秦野・丹沢山麓で棚田復元と里山保全を行う環境省里地里山モデル事業認定団体の公式サイト,https://www.donkai.com/,"HTML,画像",自然塾丹沢ドン会
丹沢・大山,里なび：自然塾丹沢ドン会,里地里山保全活動団体データベースに登録された同会の設立経緯・活動内容・連絡先情報,https://www.env.go.jp/nature/satoyama/satonavi/group/12.html,"HTML,データベース",環境省
相模川・流域,相模川水系河川整備基本方針 参考資料,流路延長・流域面積・人口・洪水履歴・生物相など、河川整備基本方針策定の基礎となる流域概要をまとめた資料,https://www.mlit.go.jp/river/basic_info/jigyo_keikaku/gaiyou/seibi/pdf/sagami260430/03_gaiyou_sagamigawa.pdf,PDF,国土交通省水管理・国土保全局
相模川・流域,相模川・中津川河川整備計画（ポータル）,国管理区間・県管理区間を含む治水・利水・環境整備方針を定めた計画書と概要版PDFへのリンク集,https://www.ktr.mlit.go.jp/keihin/keihin_index056.html,"HTML,PDF",国土交通省関東地方整備局京浜河川事務所
相模川・流域,相模川・中津川河川整備計画 本文,平成30年7月策定、国・県共同の整備計画本文。整備目標・河道計画・洪水調節方針を記載,https://www.pref.kanagawa.jp/documents/10592/sagaminakatsuseibikeikaku_1.pdf,PDF,国土交通省関東地方整備局・神奈川県
相模川・流域,小出川・千の川 河川整備計画,相模川支川の小出川と千の川の治水目標・河道整備・多自然川づくり方針を定めた県策定の整備計画,https://www.pref.kanagawa.jp/documents/10592/koide_senno_seibikeikaku.pdf,PDF,神奈川県
相模川・流域,神奈川県 河川整備基本方針・整備計画一覧,県管理区間を含む県内水系の整備方針・整備計画のリンク集。相模川水系支川の計画書もここから辿れる,https://www.pref.kanagawa.jp/docs/f4i/cnt/f70089/index.html,HTML,神奈川県
相模川・流域,相模川河川維持管理計画（国管理区間編）,河口〜神川橋の国管理区間について河床・堤防状況、不法投棄等の課題と点検・維持管理目標を定めた令和4年計画,https://www.ktr.mlit.go.jp/ktr_content/content/000850674.pdf,PDF,国土交通省関東地方整備局京浜河川事務所
相模川・流域,相模川の概要（京浜河川事務所）,相模川の地形・流域・沿川の土地利用と河川管理の全体像をまとめた基礎解説ページ,https://www.ktr.mlit.go.jp/keihin/keihin_index022.html,HTML,国土交通省関東地方整備局京浜河川事務所
相模川・流域,日本の川 相模川（河川データ集）,相模川の流路延長・流域面積・地形地質・歴史・利水利用などをまとめた国交省データベースの解説ページ,https://www.mlit.go.jp/river/toukei_chousa/kasen/jiten/nihon_kawa/0309_sagami/0309_sagami_01.html,HTML,国土交通省水管理・国土保全局
相模川・流域,河川水辺の国勢調査（相模川）,魚類・底生動物・鳥類・植物・陸上昆虫・両生類等、相模川で実施した生物調査結果報告書PDFへのリンク集,https://www.ktr.mlit.go.jp/keihin/keihin00294.html,"HTML,PDF",国土交通省関東地方整備局京浜河川事務所
相模川・流域,河川環境データベース,全国一級水系の河川水辺の国勢調査結果を横断検索できるDB。相模川水系の魚類・底生動物データも収録,https://www5.river.go.jp/database/databasetop.html,"データベース,HTML",国土交通省水管理・国土保全局
相模川・流域,水文水質データベース,全国の河川水位・流量・雨量・水質観測データを検索・ダウンロードできる国交省公式DB。相模川本支川の観測所を収録,https://www1.river.go.jp/,"データベース,CSV",国土交通省水管理・国土保全局
相模川・流域,川の防災情報,全国の水位・雨量・河川カメラ映像をリアルタイムで確認できる国交省公式サイト。相模川本支川の観測所も網羅,https://www.river.go.jp/,"HTML,API,画像",国土交通省水管理・国土保全局
相模川・流域,ライブカメラ（相模川）,河口から小倉橋まで16地点に設置された相模川の河川監視カメラ映像を一覧できるリアルタイム画像ページ,https://www.ktr.mlit.go.jp/keihin/keihin01459.html,"画像,HTML",国土交通省関東地方整備局京浜河川事務所
