raw,code
絶滅,EX
絶滅（EX）,EX
絶滅種,EX
絶滅/情報不足,EX
絶滅／情報不足,EX
野生絶滅,EW
野生絶滅（EW）,EW
野生絶滅/情報不足,EW
絶滅危惧ⅠA類,CR
絶滅危惧ⅠＡ類,CR
絶滅危惧IA類,CR
絶滅危惧ⅠA類（CR）,CR
絶滅危惧ⅠＡ類（CR）,CR
絶滅危惧IA類（CR）,CR
絶滅危惧BⅠＡ類,CR
絶滅危惧Ⅰ類,CR+EN
絶滅危惧Ⅰ類（CR+EN）,CR+EN
絶滅危惧I類（CR+EN）,CR+EN
絶滅危惧ⅠB類,EN
絶滅危惧ⅠＢ類,EN
絶滅危惧IB類,EN
絶滅危惧ⅠB類（EN）,EN
絶滅危惧ⅠＢ類（EN）,EN
絶滅危惧IB類（EN）,EN
絶滅危惧Ⅱ類,VU
絶滅危惧II類,VU
絶滅危惧Ⅱ類（VU）,VU
絶滅危惧II類（VU）,VU
絶滅危B惧Ⅱ類,VU
絶滅のおそれのある地域個体群,LP
絶滅のおそれのある地域個体群（LP）,LP
準絶滅危惧,NT
準絶滅危惧（NT）,NT
準絶滅危惧/情報不足,NT
減少種,NT
希少種,RA
注目種,AT
要注意種,AT
情報不足,DD
情報不足（DD）,DD
情報不足Ａ,DD
情報不足Ｂ,DD
不明種,DD
消息不明種,DD
―,not_listed
