scientific_name,vernacular_name_ja,source
Hypsipetes amaurotis,ヒヨドリ,domain.ts:NAME_JA
Passer montanus,スズメ,domain.ts:NAME_JA
Corvus corone,ハシボソガラス,domain.ts:NAME_JA
Corvus macrorhynchos,ハシブトガラス,domain.ts:NAME_JA
Egretta garzetta,コサギ,domain.ts:NAME_JA
Ardea intermedia,チュウサギ,domain.ts:NAME_JA
Ardea cinerea,アオサギ,domain.ts:NAME_JA
Fulica atra,オオバン,domain.ts:NAME_JA
Alcedo atthis,カワセミ,domain.ts:NAME_JA
Garrulax canorus,ガビチョウ,domain.ts:NAME_JA
Leiothrix lutea,ソウシチョウ,domain.ts:NAME_JA
Aythya fuligula,キンクロハジロ,domain.ts:NAME_JA
Aythya ferina,ホシハジロ,domain.ts:NAME_JA
Anas acuta,オナガガモ,domain.ts:NAME_JA
Mareca penelope,ヒドリガモ,domain.ts:NAME_JA
Mareca strepera,オカヨシガモ,domain.ts:NAME_JA
Zosterops japonicus,メジロ,domain.ts:NAME_JA
Cyanopica cyanus,オナガ,domain.ts:NAME_JA
Motacilla cinerea,キセキレイ,domain.ts:NAME_JA
Alauda arvensis,ヒバリ,domain.ts:NAME_JA
Phasianus versicolor,キジ,domain.ts:NAME_JA
Podiceps cristatus,カンムリカイツブリ,domain.ts:NAME_JA
Psittacula krameri,ワカケホンセイインコ,domain.ts:NAME_JA
Delichon dasypus,イワツバメ,domain.ts:NAME_JA
Apus nipalensis,ヒメアマツバメ,domain.ts:NAME_JA
Columba livia,カワラバト（ドバト）,domain.ts:NAME_JA
Coccothraustes coccothraustes,シメ,domain.ts:NAME_JA
Emberiza rustica,カシラダカ,domain.ts:NAME_JA
Trichonephila clavata,ジョロウグモ,domain.ts:NAME_JA
Harmonia axyridis,ナミテントウ,domain.ts:NAME_JA
Hestina assimilis,アカボシゴマダラ,domain.ts:NAME_JA
Callosciurus erythraeus,タイワンリス,domain.ts:NAME_JA
Solidago altissima,セイタカアワダチソウ,domain.ts:NAME_JA
Trachemys scripta,アカミミガメ,domain.ts:NAME_JA
Coreopsis lanceolata,オオキンケイギク,domain.ts:NAME_JA
Procambarus clarkii,アメリカザリガニ,domain.ts:NAME_JA
Lithobates catesbeianus,ウシガエル,domain.ts:NAME_JA
Procyon lotor,アライグマ,domain.ts:NAME_JA
Paguma larvata,ハクビシン,domain.ts:NAME_JA
Nipponoluciola cruciata,ゲンジボタル,domain.ts:NAME_JA
Plecoglossus altivelis,アユ,domain.ts:NAME_JA
Cyprinus carpio,コイ,domain.ts:NAME_JA
Zacco platypus,オイカワ,domain.ts:NAME_JA
Pseudorasbora parva,モツゴ,domain.ts:NAME_JA
Lepomis macrochirus,ブルーギル,domain.ts:NAME_JA
Micropterus salmoides,オオクチバス,domain.ts:NAME_JA
Cobitis biwae,シマドジョウ,domain.ts:NAME_JA
Anguilla japonica,ニホンウナギ,domain.ts:NAME_JA
Cervus nippon,ニホンジカ,domain.ts:NAME_JA
Bidens pilosa,オオバナセンダングサ,domain.ts:NAME_JA
Persicaria capitata,ヒメツルソバ,domain.ts:NAME_JA
Oenothera laciniata,コマツヨイグサ,domain.ts:NAME_JA
Robinia pseudoacacia,ハリエンジュ,domain.ts:NAME_JA
Pomacea canaliculata,スクミリンゴガイ,domain.ts:NAME_JA
