alias,dataset,source_id,variable_id,unit_id,stat,grain,note
生物化学的酸素要求量 BOD,measurements,atsugi_river_water_quality,common:variable:water.bod,,mean,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §4: 原本xlsx全19本のB3セルが「※数値は日間平均値です。」で一致し、stat=mean・grain=dayは全期間・pH含む全5項目で確定。2005年度以降は measured_on が年度の数字のみになるが、source_ref に月ラベルが全行分残っており grain=month まで復元可能（本PRでは着手しない）。採水日は2005年度以降「8〜9日」等の2日レンジ表記で原本に確定情報が無く、単一日付には永久に確定できない。
生物化学的酸素要求量 BOD,measurements,env_kousui_sample_kanagawa,common:variable:water.bod,,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
生物化学的酸素要求量 BOD,measurements,env_kousui_annual_kanagawa,common:variable:water.bod,,mean,fiscal_year,
BOD 75%値,measurements,env_kousui_annual_kanagawa,common:variable:water.bod,,p75,fiscal_year,
化学的酸素要求量 COD,measurements,atsugi_river_water_quality,common:variable:water.cod,,mean,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §4: 原本xlsx全19本のB3セルが「※数値は日間平均値です。」で一致し、stat=mean・grain=dayは全期間・pH含む全5項目で確定。2005年度以降は measured_on が年度の数字のみになるが、source_ref に月ラベルが全行分残っており grain=month まで復元可能（本PRでは着手しない）。採水日は2005年度以降「8〜9日」等の2日レンジ表記で原本に確定情報が無く、単一日付には永久に確定できない。
化学的酸素要求量 COD,measurements,env_kousui_sample_kanagawa,common:variable:water.cod,,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
化学的酸素要求量 COD,measurements,env_kousui_annual_kanagawa,common:variable:water.cod,,mean,fiscal_year,
COD 75%値,measurements,env_kousui_annual_kanagawa,common:variable:water.cod,,p75,fiscal_year,
溶存酸素量 DO,measurements,,common:variable:water.do,,mean,day,source_id が空（is_synthetic=1 の合成データ）。
溶存酸素量 DO,measurements,atsugi_river_water_quality,common:variable:water.do,,mean,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §4: 原本xlsx全19本のB3セルが「※数値は日間平均値です。」で一致し、stat=mean・grain=dayは全期間・pH含む全5項目で確定。2005年度以降は measured_on が年度の数字のみになるが、source_ref に月ラベルが全行分残っており grain=month まで復元可能（本PRでは着手しない）。採水日は2005年度以降「8〜9日」等の2日レンジ表記で原本に確定情報が無く、単一日付には永久に確定できない。
溶存酸素量 DO,measurements,env_kousui_sample_kanagawa,common:variable:water.do,,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
溶存酸素量 DO,measurements,env_kousui_annual_kanagawa,common:variable:water.do,,mean,fiscal_year,
底層溶存酸素量,measurements,env_kousui_sample_kanagawa,common:variable:water.do_bottom,,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
底層溶存酸素量,measurements,env_kousui_annual_kanagawa,common:variable:water.do_bottom,,,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.6: 平成28年追加項目で年間値ファイル利用説明書（平成27年）に未収載。評価方法（日間平均値の年間最低値）への言及はあるが環境省の一次資料で確認できず、stat は空のまま（未確認。Phase A の mean は根拠が無かったため削除した）。
浮遊物質量 SS,measurements,,common:variable:water.ss,,mean,day,source_id が空（is_synthetic=1 の合成データ）。
浮遊物質量 SS,measurements,atsugi_river_water_quality,common:variable:water.ss,,mean,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §4: 原本xlsx全19本のB3セルが「※数値は日間平均値です。」で一致し、stat=mean・grain=dayは全期間・pH含む全5項目で確定。2005年度以降は measured_on が年度の数字のみになるが、source_ref に月ラベルが全行分残っており grain=month まで復元可能（本PRでは着手しない）。採水日は2005年度以降「8〜9日」等の2日レンジ表記で原本に確定情報が無く、単一日付には永久に確定できない。
浮遊物質量 SS,measurements,env_kousui_sample_kanagawa,common:variable:water.ss,,point,day,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §3.1-3.2: レコードID定義よりレコード=1回の採水・分析（stat=point）と確定。ただし調査区分コード5/6（水質自動モニターの日間平均値）が同じレコード形式で混在しうる仕様だが、区別する列（調査区分コード）がダウンロードした実データに無く、行ごとに見分けられない。
浮遊物質量 SS,measurements,env_kousui_annual_kanagawa,common:variable:water.ss,,mean,fiscal_year,
全窒素 T-N,measurements,env_kousui_annual_kanagawa,common:variable:water.tn,,mean,fiscal_year,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.2 の一次資料調査で stat='mean'（日間平均値の平均値）と確定。
