dataset,alias,source_id,variable_id,note
measurements,ass,env_kousui_annual_kanagawa,common:variable:water.arsenic,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,b,env_kousui_annual_kanagawa,common:variable:water.boron,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,benzen,env_kousui_annual_kanagawa,common:variable:water.benzene,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,cd,env_kousui_annual_kanagawa,common:variable:water.cadmium,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,chiobenkarubu,env_kousui_annual_kanagawa,common:variable:water.thiobencarb,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,chiraumu,env_kousui_annual_kanagawa,common:variable:water.thiuram,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,cn,env_kousui_annual_kanagawa,common:variable:water.cyanide,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 全シアンは環境基準の評価が年間最高値（他の健康項目26種は年間平均値。kan_w.html）で他と異なる統計量の可能性が高い。ただし zip_create API の列がその集計と同一かを明記した資料は無いため、他項目と同じく stat は空のまま（推測で max を入れない）。
measurements,cr6,env_kousui_annual_kanagawa,common:variable:water.hexavalent_chromium,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,f,env_kousui_annual_kanagawa,common:variable:water.fluorine,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,jikuroroechiren11,env_kousui_annual_kanagawa,common:variable:water.11_dichloroethylene,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,jikuroroetan12,env_kousui_annual_kanagawa,common:variable:water.12_dichloroethane,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,jikurorometan,env_kousui_annual_kanagawa,common:variable:water.dichloromethane,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,jikuroropuropen13,env_kousui_annual_kanagawa,common:variable:water.13_dichloropropene,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,n14jiokisan,env_kousui_annual_kanagawa,common:variable:water.14_dioxane,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,nno3,env_kousui_annual_kanagawa,common:variable:water.nitrate_nitrite_n,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
