place_id,place_kind,external_key,name_ja,lat,lon,reason
jp-14:place:site.atsugi-river-中津川,site,atsugi_river_water_quality__中津川,中津川,,,https://data.bodik.jp/dataset/a7cb3c2d-6917-4005-9209-3a420ed5f50f/resource/7f36c043-8bba-4068-8332-6e0e9d51083d/download/kougai_kasen_r02data.xlsx#令和2年4月:中津川:pH（data/processed/atsugi_river_water_quality.csv; scripts/c86_ckan_bodik_yokohama.py; 原表に地点住所の記載がなく河川名を地点名として使用）
jp-14:place:site.atsugi-river-小鮎川,site,atsugi_river_water_quality__小鮎川,小鮎川,,,https://data.bodik.jp/dataset/a7cb3c2d-6917-4005-9209-3a420ed5f50f/resource/7f36c043-8bba-4068-8332-6e0e9d51083d/download/kougai_kasen_r02data.xlsx#令和2年4月:小鮎川:pH（data/processed/atsugi_river_water_quality.csv; scripts/c86_ckan_bodik_yokohama.py; 原表に地点住所の記載がなく河川名を地点名として使用）
jp-14:place:site.atsugi-river-玉川,site,atsugi_river_water_quality__玉川,玉川,,,https://data.bodik.jp/dataset/a7cb3c2d-6917-4005-9209-3a420ed5f50f/resource/7f36c043-8bba-4068-8332-6e0e9d51083d/download/kougai_kasen_r02data.xlsx#令和2年4月:玉　川:pH（data/processed/atsugi_river_water_quality.csv; scripts/c86_ckan_bodik_yokohama.py; 原表に地点住所の記載がなく河川名を地点名として使用）
jp-14:place:site.atsugi-river-相模川,site,atsugi_river_water_quality__相模川,相模川,,,https://data.bodik.jp/dataset/a7cb3c2d-6917-4005-9209-3a420ed5f50f/resource/7f36c043-8bba-4068-8332-6e0e9d51083d/download/kougai_kasen_r02data.xlsx#令和2年4月:相模川:pH（data/processed/atsugi_river_water_quality.csv; scripts/c86_ckan_bodik_yokohama.py; 原表に地点住所の記載がなく河川名を地点名として使用）
jp-14:place:site.hiratsuka-taiki-hiratsuka_101,site,hiratsuka_taiki_stations__hiratsuka_101,大野公民館,,,https://hiratsukataiki.sakura.ne.jp/download-kakutei.php（data/processed/hiratsuka_taiki_stations.csv station_code=101; scripts/c85_hiratsuka_taiki.py; 原本(ひらつか大気テレメータ)に緯度経度の記載なし）
jp-14:place:site.hiratsuka-taiki-hiratsuka_102,site,hiratsuka_taiki_stations__hiratsuka_102,神田小学校,,,https://hiratsukataiki.sakura.ne.jp/download-kakutei.php（data/processed/hiratsuka_taiki_stations.csv station_code=102; scripts/c85_hiratsuka_taiki.py; 原本(ひらつか大気テレメータ)に緯度経度の記載なし）
jp-14:place:site.hiratsuka-taiki-hiratsuka_103,site,hiratsuka_taiki_stations__hiratsuka_103,旭小学校,,,https://hiratsukataiki.sakura.ne.jp/download-kakutei.php（data/processed/hiratsuka_taiki_stations.csv station_code=103; scripts/c85_hiratsuka_taiki.py; 原本(ひらつか大気テレメータ)に緯度経度の記載なし）
jp-14:place:site.hiratsuka-taiki-hiratsuka_104,site,hiratsuka_taiki_stations__hiratsuka_104,花水小学校,,,https://hiratsukataiki.sakura.ne.jp/download-kakutei.php（data/processed/hiratsuka_taiki_stations.csv station_code=104; scripts/c85_hiratsuka_taiki.py; 原本(ひらつか大気テレメータ)に緯度経度の記載なし）
jp-14:place:site.hiratsuka-taiki-hiratsuka_105,site,hiratsuka_taiki_stations__hiratsuka_105,松原歩道橋,,,https://hiratsukataiki.sakura.ne.jp/download-kakutei.php（data/processed/hiratsuka_taiki_stations.csv station_code=105; scripts/c85_hiratsuka_taiki.py; 原本(ひらつか大気テレメータ)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-1,site,kanagawa_jiban_chinka__1,観音川観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well1（data/processed/kanagawa_jiban_chinka.csv well_id=1; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
