record_id,source_id,site_id,observed_on,scientific_name,vernacular_name,taxon_rank,reason
gbif_kanagawa_occurrences__1086723835,gbif_kanagawa_occurrences,,1873-08-18,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__1100860006,gbif_kanagawa_occurrences,,1896-09,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__2512672323,gbif_kanagawa_occurrences,,1911-11-19,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__251634090,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__2611971429,gbif_kanagawa_occurrences,,2019-11-28T10:49Z,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345772129,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345774087,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345775137,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345775988,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345777127,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345778076,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345779118,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345780115,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345781144,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345918056,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3345919126,gbif_kanagawa_occurrences,,2013-06,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3351147607,gbif_kanagawa_occurrences,,1997-10,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3400371317,gbif_kanagawa_occurrences,,1911-05-28,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__3400383318,gbif_kanagawa_occurrences,,1987-02-21,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4023340584,gbif_kanagawa_occurrences,,1915-10-01T00:00Z/1915-10-31T00:00Z,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4023340602,gbif_kanagawa_occurrences,,1922-10-15T00:00Z,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4152633520,gbif_kanagawa_occurrences,,2012/2013,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4152633521,gbif_kanagawa_occurrences,,2012/2013,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4152637554,gbif_kanagawa_occurrences,,2012/2013,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4152638538,gbif_kanagawa_occurrences,,2012/2013,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4152638539,gbif_kanagawa_occurrences,,2012/2013,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4152640530,gbif_kanagawa_occurrences,,2012/2013,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4152640531,gbif_kanagawa_occurrences,,2012/2013,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
