taxon_id,scientific_name,vernacular_name_ja,taxon_group_ja,redlist_kanagawa,redlist_national,ias_category,gbif_match_type,source_id,reason
abbottina rivularis,Abbottina rivularis,ツチフキ,汽水・淡水魚類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
abelia chinensis var. ionandra,Abelia chinensis var. ionandra,タイワンツクバネウツギ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
abelmoschus moschatus var. betulifolius,Abelmoschus moschatus var. betulifolius,センカクトロロアオイ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
abrodictyum boninense,Abrodictyum boninense,ハハジマホラゴケ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
abroscelis anchoralis,Abroscelis anchoralis,イカリモンハンミョウ,昆虫類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acacia confusa,Acacia confusa,ソウシジュ（タイワンアカシア）,植物,,,重点対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acacia longifolia,Acacia longifolia,ナガバアカシア,植物,,,重点対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acacia mearnsii,Acacia mearnsii,モリシマアカシア,植物,,,重点対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acacia melanoxylon,Acacia melanoxylon,メラノキシロンアカシア（ブラックウッドアカシア）,植物,,,重点対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acalolepta boninensis,Acalolepta boninensis,オガサワラビロウドカミキリ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acalolepta degener,Acalolepta degener,ヒメビロウドカミキリ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acanthaspis cincticrus,Acanthaspis cincticrus,ハリサシガメ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acanthephippium pictum,Acanthephippium pictum,エンレイショウキラン,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acanthephippium sylhetense,Acanthephippium sylhetense,タイワンショウキラン,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acanthogobius hasta,Acanthogobius hasta,ハゼクチ,汽水・淡水魚類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acanthogobius insularis,Acanthogobius insularis,ミナミアシシロハゼ,汽水・淡水魚類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
